A -- 1-4,Manufacturer,Series,B -- 6-5,Product Type,C -- 6-7,Cable Type,D -- 8-9,Motor-end Connector Type,E -- 10-11,Drive-end Connector Type,F -- 13-14,Wire Gauge Size,Encoder Type,G -- 15-16,Cable Material Type,H -- 17-18,Cable Length
2090,Allen Bradley/Rockwell Automation,Kinetix Motion Accessory,C,Cable,SB,Single motor power with brake wires,M1,Single SpeedTec DIN connector,DF,"Drive-end, flying-leads",02,2 AWG,BLANK,AA,"Standard, non-flex",01,1...90 m 3.3...295 ft
,,,,,SW,Single motor power only,M4,Threaded DIN connector,DE,"Drive-end, flying-lead power/brake wires and pre-wired feedback connector kit (lead length optimized for Kinetix 5700 drives)",04,4 AWG,BLANK,AF,Continuous-flex,02,2...90 m 6.6...295 ft
,,,,,PB,Motor power with brake wires,M6,Circular plastic connector,DG,"Drive-end, flying-leads (longer leads optimized for Kinetix 5500 or Kinetix 5700 drives)",06,6 AWG,BLANK,LF,"PUR, Continuous-flex, Halogen free",03,3...90 m 9.9...295 ft
,,,,,PW,Motor power only,M7,SpeedTec DIN connector,E1,Extension receptacle (SpeedTec ready),08,8 AWG,BLANK,VA,"PVC, Standard, non-flex",04,4...90 m 13.2...295 ft
,,,,,FB,Motor feedback only,,,DD,"Drive-end, D-sub connector",10,10 AWG,BLANK,,,05,5...90 m 16.5...295 ft
,,,,,,,,,E7,Extension receptacle (SpeedTec ready),12,12 AWG,BLANK,,,06,6...90 m 19.8...295 ft
,,,,,,,,,,,14,14 AWG,BLANK,,,07,7...90 m 23.1...295 ft
,,,,,,,,,,,16,16 AWG,BLANK,,,08,8...90 m 26.4...295 ft
,,,,,,,,,,,18,18 AWG,BLANK,,,09,9...90 m 29.7...295 ft
,,,,,,,,,,,CB,BLANK,Serial incremental/Serial absolute - battery backup,,,10,10...90 m 33...295 ft
,,,,,,,,,,,CC,BLANK,Serial incremental/Incremental,,,11,11...90 m 36.3...295 ft
,,,,,,,,,,,CD,BLANK,SIN/COS High-resolution/Incremental,,,12,12...90 m 39.6...295 ft
,,,,,,,,,,,CE,BLANK,SIN/COS High-resolution/Resolver,,,13,13...90 m 42.9...295 ft
,,,,,,,,,,,,,,,,14,14...90 m 46.2...295 ft
,,,,,,,,,,,,,,,,15,15...90 m 49.5...295 ft
,,,,,,,,,,,,,,,,16,16...90 m 52.8...295 ft
,,,,,,,,,,,,,,,,17,17...90 m 56.1...295 ft
,,,,,,,,,,,,,,,,18,18...90 m 59.4...295 ft
,,,,,,,,,,,,,,,,19,19...90 m 62.7...295 ft
,,,,,,,,,,,,,,,,20,20...90 m 66...295 ft
,,,,,,,,,,,,,,,,21,21...90 m 69.3...295 ft
,,,,,,,,,,,,,,,,22,22...90 m 72.6...295 ft
,,,,,,,,,,,,,,,,23,23...90 m 75.9...295 ft
,,,,,,,,,,,,,,,,24,24...90 m 79.2...295 ft
,,,,,,,,,,,,,,,,25,25...90 m 82.5...295 ft
,,,,,,,,,,,,,,,,26,26...90 m 85.8...295 ft
,,,,,,,,,,,,,,,,27,27...90 m 89.1...295 ft
,,,,,,,,,,,,,,,,28,28...90 m 92.4...295 ft
,,,,,,,,,,,,,,,,29,29...90 m 95.7...295 ft
,,,,,,,,,,,,,,,,30,30...90 m 99...295 ft
,,,,,,,,,,,,,,,,31,31...90 m 102.3...295 ft
,,,,,,,,,,,,,,,,32,32...90 m 105.6...295 ft
,,,,,,,,,,,,,,,,33,33...90 m 108.9...295 ft
,,,,,,,,,,,,,,,,34,34...90 m 112.2...295 ft
,,,,,,,,,,,,,,,,35,35...90 m 115.5...295 ft
,,,,,,,,,,,,,,,,36,36...90 m 118.8...295 ft
,,,,,,,,,,,,,,,,37,37...90 m 122.1...295 ft
,,,,,,,,,,,,,,,,38,38...90 m 125.4...295 ft
,,,,,,,,,,,,,,,,39,39...90 m 128.7...295 ft
,,,,,,,,,,,,,,,,40,40...90 m 132...295 ft
,,,,,,,,,,,,,,,,41,41...90 m 135.3...295 ft
,,,,,,,,,,,,,,,,42,42...90 m 138.6...295 ft
,,,,,,,,,,,,,,,,43,43...90 m 141.9...295 ft
,,,,,,,,,,,,,,,,44,44...90 m 145.2...295 ft
,,,,,,,,,,,,,,,,45,45...90 m 148.5...295 ft
,,,,,,,,,,,,,,,,46,46...90 m 151.8...295 ft
,,,,,,,,,,,,,,,,47,47...90 m 155.1...295 ft
,,,,,,,,,,,,,,,,48,48...90 m 158.4...295 ft
,,,,,,,,,,,,,,,,49,49...90 m 161.7...295 ft
,,,,,,,,,,,,,,,,50,50...90 m 165...295 ft
,,,,,,,,,,,,,,,,51,51...90 m 168.3...295 ft
,,,,,,,,,,,,,,,,52,52...90 m 171.6...295 ft
,,,,,,,,,,,,,,,,53,53...90 m 174.9...295 ft
,,,,,,,,,,,,,,,,54,54...90 m 178.2...295 ft
,,,,,,,,,,,,,,,,55,55...90 m 181.5...295 ft
,,,,,,,,,,,,,,,,56,56...90 m 184.8...295 ft
,,,,,,,,,,,,,,,,57,57...90 m 188.1...295 ft
,,,,,,,,,,,,,,,,58,58...90 m 191.4...295 ft
,,,,,,,,,,,,,,,,59,59...90 m 194.7...295 ft
,,,,,,,,,,,,,,,,60,60...90 m 198...295 ft
,,,,,,,,,,,,,,,,61,61...90 m 201.3...295 ft
,,,,,,,,,,,,,,,,62,62...90 m 204.6...295 ft
,,,,,,,,,,,,,,,,63,63...90 m 207.9...295 ft
,,,,,,,,,,,,,,,,64,64...90 m 211.2...295 ft
,,,,,,,,,,,,,,,,65,65...90 m 214.5...295 ft
,,,,,,,,,,,,,,,,66,66...90 m 217.8...295 ft
,,,,,,,,,,,,,,,,67,67...90 m 221.1...295 ft
,,,,,,,,,,,,,,,,68,68...90 m 224.4...295 ft
,,,,,,,,,,,,,,,,69,69...90 m 227.7...295 ft
,,,,,,,,,,,,,,,,70,70...90 m 231...295 ft
,,,,,,,,,,,,,,,,71,71...90 m 234.3...295 ft
,,,,,,,,,,,,,,,,72,72...90 m 237.6...295 ft
,,,,,,,,,,,,,,,,73,73...90 m 240.9...295 ft
,,,,,,,,,,,,,,,,74,74...90 m 244.2...295 ft
,,,,,,,,,,,,,,,,75,75...90 m 247.5...295 ft
,,,,,,,,,,,,,,,,76,76...90 m 250.8...295 ft
,,,,,,,,,,,,,,,,77,77...90 m 254.1...295 ft
,,,,,,,,,,,,,,,,78,78...90 m 257.4...295 ft
,,,,,,,,,,,,,,,,79,79...90 m 260.7...295 ft
,,,,,,,,,,,,,,,,80,80...90 m 264...295 ft
,,,,,,,,,,,,,,,,81,81...90 m 267.3...295 ft
,,,,,,,,,,,,,,,,82,82...90 m 270.6...295 ft
,,,,,,,,,,,,,,,,83,83...90 m 273.9...295 ft
,,,,,,,,,,,,,,,,84,84...90 m 277.2...295 ft
,,,,,,,,,,,,,,,,85,85...90 m 280.5...295 ft
,,,,,,,,,,,,,,,,86,86...90 m 283.8...295 ft
,,,,,,,,,,,,,,,,87,87...90 m 287.1...295 ft
,,,,,,,,,,,,,,,,88,88...90 m 290.4...295 ft
,,,,,,,,,,,,,,,,89,89...90 m 293.7...295 ft
,,,,,,,,,,,,,,,,90,90...90 m 297...295 ft
